 Y	Grup
14	Sony
23	Sony
110	Sony
165	Sony
54	Sony
63	Sony
3	Sony
64	Sony
114	Sony
132	Sony
110	Sony
146	Sony
75	Sony
71	Sony
48	Sony
18	Toshiba
4	Toshiba
23	Toshiba
75	Toshiba
479	Toshiba
41	Toshiba
321	Toshiba
45	Toshiba
50	Toshiba
45	Toshiba
11	Toshiba
185	Toshiba
26	Toshiba
86	Toshiba
122	Toshiba
207	Duracell
43	Duracell
129	Duracell
53	Duracell
142	Duracell
12	Duracell
60	Duracell
139	Duracell
205	Duracell
54	Duracell
4	Duracell
111	Duracell
6	Duracell
83	Duracell
77	Duracell
164	Panasonic
124	Panasonic
28	Panasonic
194	Panasonic
101	Panasonic
188	Panasonic
66	Panasonic
112	Panasonic
61	Panasonic
36	Panasonic
40	Panasonic
115	Panasonic
116	Panasonic
70	Panasonic
9	Panasonic
